Australian Bureau of Statistics,,,,
,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,
LANP - 4 Digit Level and ENGP Proficiency in Spoken English by LGA (UR),,,,
Counting: Persons Place of Usual Residence,,,,
,,,,
Filters:,,,,
Default Summation,Persons Place of Usual Residence,,,
LGA (UR),Moonee Valley (C),,,
,,,,
Counting,LGA (UR),LANP - 4 Digit Level,ENGP Proficiency in Spoken English,Count
Persons Place of Usual Residence,Moonee Valley (C),"Dutch and Related Languages, nfd",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Dutch and Related Languages, nfd","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Dutch and Related Languages, nfd",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Dutch,Very well,91
Persons Place of Usual Residence,Moonee Valley (C),Dutch,Well,5
Persons Place of Usual Residence,Moonee Valley (C),Dutch,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Dutch,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Dutch,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Dutch,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Dutch,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Frisian,Very well,0
Persons Place of Usual Residence,Moonee Valley (C),Frisian,Well,0
Persons Place of Usual Residence,Moonee Valley (C),Frisian,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Frisian,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Frisian,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Frisian,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Frisian,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Afrikaans,Very well,39
Persons Place of Usual Residence,Moonee Valley (C),Afrikaans,Well,0
Persons Place of Usual Residence,Moonee Valley (C),Afrikaans,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Afrikaans,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Afrikaans,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Afrikaans,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Afrikaans,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nfd",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nfd",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nfd",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nfd",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nfd",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nfd","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nfd",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Danish,Very well,17
Persons Place of Usual Residence,Moonee Valley (C),Danish,Well,4
Persons Place of Usual Residence,Moonee Valley (C),Danish,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Danish,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Danish,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Danish,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Danish,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Icelandic,Very well,0
Persons Place of Usual Residence,Moonee Valley (C),Icelandic,Well,0
Persons Place of Usual Residence,Moonee Valley (C),Icelandic,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Icelandic,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Icelandic,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Icelandic,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Icelandic,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Norwegian,Very well,7
Persons Place of Usual Residence,Moonee Valley (C),Norwegian,Well,0
Persons Place of Usual Residence,Moonee Valley (C),Norwegian,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Norwegian,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Norwegian,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Norwegian,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Norwegian,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Swedish,Very well,49
Persons Place of Usual Residence,Moonee Valley (C),Swedish,Well,4
Persons Place of Usual Residence,Moonee Valley (C),Swedish,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Swedish,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Swedish,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Swedish,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Swedish,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nec",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nec",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nec",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nec",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nec",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nec","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Scandinavian, nec",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nfd",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nfd",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nfd",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nfd",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nfd",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nfd","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nfd",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Estonian,Very well,9
Persons Place of Usual Residence,Moonee Valley (C),Estonian,Well,7
Persons Place of Usual Residence,Moonee Valley (C),Estonian,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Estonian,Not at all,0
